id;rating;open;average_delivery_time;closing_hour;opening_hour;tags
1;Summit quantify Metal;false;29099;2022-04-15T10:53:46;2022-04-14T22:20:51;Sao Chips
2;bandwidth morph 1080p;false;98034;2022-04-15T13:17:11;2022-04-14T22:52:25;e-commerce
3;content-based;false;40641;2022-04-14T23:12:26;2022-04-15T05:24:32;Sports
4;Account mesh;false;78393;2022-04-15T15:50:16;2022-04-15T09:36:35;Pre-emptive Mouse Market
5;program;false;97902;2022-04-14T22:24:31;2022-04-15T20:19:34;Soap Functionality Intuitive
6;Technician architect;true;75700;2022-04-15T00:39:14;2022-04-15T16:39:53;Berkshire
7;Virginia multimedia;false;46180;2022-04-15T19:19:43;2022-04-15T08:25:55;Litas
8;optimize withdrawal;false;50925;2022-04-14T22:54:08;2022-04-15T18:53:47;violet orchestration Internal
9;Avon;false;64631;2022-04-15T16:01:30;2022-04-15T10:15:26;emulation UAE
10;system;false;35237;2022-04-14T21:58:12;2022-04-15T11:40:31;wireless
